ID,NAME,POSITION,POTENTIAL
207807,R. Fraser,GK,Medium
164853,A.Federici,DEF,Medium
192227,S. Francis,DEF,High
1675229,N. AkÃ©,DEF,Medium
189446,J. Stanislas,MID,Medium
190885,A.Smith,MID,Medium
184749,A.Gosling,MID,Medium
18461,J. Ibe,MID,Medium
176635,L. Cook,MID,Medium
178509,J. Defoe,FWD,Medium
,,,
4890,A. BegoviÄ‡,GK,Medium
1675229,N. AkÃ©,DEF,Medium
164853,S. Francis,DEF,High
192227,S.Mustafi,DEF,High
189271,J. King,MID,High
45561,H. Arter,MID,High
199503,S. Cook,MID,Medium
184749,A.Gosling,MID,Medium
17635,C. Wilson,MID,Low
18509,C. Daniels,FWD,Medium
178509,J. Defoe,FWD,Medium
