ID,NAME,POSITION,POTENTIAL
170597,T. Krul,GK,Medium
199915,L. Dunk,DEF,Medium
192622,S. Duffy,DEF,High
182184,D. Stephens,DEF,Medium
193550,B. Kayal,MID,High
169345,M. Suttner,MID,Medium
204276,T. Hemed,MID,High
177766,G. Bong,MID,Medium
206594,S. March,MID,Low
172937,G. Murray,FWD,Medium
,,,
170597,T. Krul,GK,Medium
145047,Bruno Saltor,DEF,Medium
134941,S. Sidwell,DEF,High
190765,P. GroÃŸ,DEF,High
192838,E. Schelotto,MID,High
203910,A. Knockaert,MID,High
193550,B. Kayal,MID,Medium
204276,T. Hemed,MID,High
177766,G. Bong,MID,Medium
172937,G. Murray,FWD,Medium
219411,J. Izquierdo,FWD,Medium
