ID,NAME,POSITION,POTENTIAL
146947,Vesga,GK,Medium
229764,CÃ³rdoba,DEF,Medium
213937,Aketxe,DEF,High
106231,Aduriz,DEF,Medium
177600,BeÃ±at,DEF,High
216201,Williams,MID,Medium
190149,De Marcos,MID,High
177766,G. Bong,MID,Medium
212218,A. Laporte,MID,Low
171579,RaÃºl GarcÃ­a,MID,Medium
206585,Arrizabalaga,FWD,Medium
,,,
,,,
200389,J. Oblak,GK,Medium
182493,D. GodÃ­n,DEF,High
164169,Filipe LuÃ­s,DEF,Medium
208421,SaÃºl,DEF,High
146760,Juanfran,DEF,Medium
194765,A. Griezmann,MID,Medium
208418,Y. Carrasco,MID,Medium
216460,J. GimÃ©nez,MID,Medium
184144,N. GaitÃ¡n,MID,Medium
146954,Gabi,MID,High
49369,Fernando Torres,FWD,High
,,,
,,,
,,,
192448,M. ter Stegen,GK,Medium
189332,Jordi Alba,DEF,Medium
152729,PiquÃ©,DEF,Medium
189511,Sergio Busquets,DEF,Medium
205600,S. Umtiti,DEF,High
168651,I. RakitiÄ‡,MID,Medium
158023,L. Messi,MID,Medium
143745,A. Turan,MID,High
41,Iniesta,MID,High
187961,Paulinho,MID,High
176580,L. SuÃ¡rez,FWD,Medium
,,,
,,,
,,,
163806,Sergio,GK,High
199577,Sergi GÃ³mez,DEF,Medium
210214,Jozabed,DEF,High
210455,Jonny,DEF,Medium
192476,FontÃ s,DEF,Medium
225028,N. Radoja,MID,High
199602,J. Guidetti,MID,Medium
165536,G. Cabral,MID,Medium
172522,D. Wass,MID,Medium
194229,Hugo Mallo,MID,Medium
199827,P. HernÃ¡ndez,MID,Low
192629,Iago Aspas,FWD,High
,,,
,,,
,,,
209236,Guilherme,GK,Meduim
192613,C. Pantilimon,DEF,High
216796,F. Cartabia,DEF,High
197890,Arribas,DEF,Meduim
210047,F. SchÃ¤r,DEF,Meduim
173818,AdriÃ¡n,MID,LOW
53014,Fernando Navarro,MID,Meduim
207997,Albentosa,MID,High
164852,Bruno Gama,MID,High
146996,RubÃ©n,MID,Meduim
208790,Z. Bakkali,FWD,Meduim
,,,
,,,
,,,
183899,P. Piatti,GK,Medium
193887,H. PÃ©rez,DEF,Medium
146460,Javi Fuego,DEF,High
205976,Leo Baptistao,DEF,Medium
208093,Gerard Moreno,DEF,Medium
146748,Diego LÃ³pez,MID,High
159171,Jurado,MID,Medium
221087,Pau LÃ³pez,MID,Medium
202648,Sergi Darder,MID,Medium
201505,David LÃ³pez,MID,Medium
189506,Victor SÃ¡nchez,FWD,High
,,,
,,,
,,,
198198,Jordi Amat,GK,High
198715,Sergio LeÃ³n,DEF,Medium
200315,Cristian Tello,DEF,Medium
205705,Z. Feddal,DEF,Medium
219571,Camarasa,DEF,High
204713,J. Campbell,MID,Medium
211385,R. Durmisi,MID,Medium
221564,N. Leiva,MID,High
169426,BarragÃ¡n,MID,Medium
188388,R. Boudebouz,MID,Medium
178086,AdÃ¡n,FWD,High
,,,
,,,
,,,
,,,
193041,K. Navas,GK,Medium
201535,R. Varane,DEF,Medium
155862,Sergio Ramos,DEF,High
176676,Marcelo,DEF,High
204963,Carvajal,DEF,Medium
200145,Casemiro,MID,Medium
197781,Isco,MID,Medium
173731,G. Bale,MID,High
177003,L. ModriÄ‡,MID,Medium
182521,T. Kroos,MID,Medium
20801,Cristiano Ronaldo,FWD,Medium
